input,output
76xkqjzqtwonfour,76xkqjzq2n4
sixthree8sixjxjqsjgjgp,6386jxjqsjgjgp
38bgcczgtninefivefive,38bgcczgt955
sixthree4eight,6348
nhp3zdc,nhp3zdc
279four,2794
vzxf4tqrljgxmthreejcr,vzxf4tqrljgxm3jcr
bbm4twoeight8oneone3one,bbm42881131
nineninesix6nine,99669
fourseven5seveneightsvtkcjdrfour,47578svtkcjdr4
3mkmnpsix5ggfive7,3mkmnp65gg57
twotwoqbv5qrpnfl7seven8,22qbv5qrpnfl778
56snzkgsone2cxtpvvh,56snzkgs12cxtpvvh
threenine3,393
9dd3twocnrfljs58,9dd32cnrfljs58
mqtrqnrgrcxbvpgdsmsqhmxlxx4,mqtrqnrgrcxbvpgdsmsqhmxlxx4
nine9mdxzlrbmrxceight94eight,99mdxzlrbmrxc8948
jtqsrmmbonentvmnxbdsseven4,jtqsrmmb1ntvmnxbds74
ninefive8fjnjj,958fjnjj
nine53,953
33,33
ftjhckeightfourvkbd3eight9,ftjhck84vkbd389
rhpnppsfour7,rhpnpps47
95ht1x,95ht1x
fivezqfcvmgdxb5mfvtnlfkonesix,5zqfcvmgdxb5mfvtnlfk16
ninefgxxltpkszdnb89ninefivebdbdhckhb,9fgxxltpkszdnb8995bdbdhckhb
9vtglcdvkgcgrvm4sevenrhppknqfvhldfgqhpgdqfv,9vtglcdvkgcgrvm47rhppknqfvhldfgqhpgdqfv
852bfkjmccknlqreight1,852bfkjmccknlqr81
fiveone8threethreezsfpzsrbb9fourfive,51833zsfpzsrbb945
1one58eightseventhreeqfpxcpv3,1158873qfpxcpv3
11fg1,11fg1
tbrcgcqj2three9sixeight1five,tbrcgcqj2396815
seven2m6,72m6
eightzhqvdrjknb622btfrs41seven,8zhqvdrjknb622btfrs417
67nine8,6798
3one8ncctmbsixeighttwonegb,318ncctmb6821gb
7fivefive,755
m5sqxstbxp9xx,m5sqxstbxp9xx
1onejjz7gcddeightnkfqgxbbtl1,11jjz7gcdd8nkfqgxbbtl1
3jrjkxvhctzmkmqccrmbrvlcvsjnqjjb,3jrjkxvhctzmkmqccrmbrvlcvsjnqjjb
ndjfls337six2three87,ndjfls33762387
